Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Actual Energy Consumption,Predicted Energy Consumption,Prediction Error
Commercial,40192,23,23,30.0,Weekend,4549.59,4549.59824444978,-0.008244449780249852
Residential,8406,25,36,19.48,Weekday,2842.91,2842.9010827773645,0.008917222635318467
Industrial,47719,92,7,32.82,Weekend,5781.83,5781.847788209464,-0.01778820946401538
Commercial,37435,26,35,21.64,Weekday,4773.54,4773.55057725788,-0.010577257879958779
Commercial,11331,47,43,21.1,Weekend,3791.04,3791.0502172496,-0.010217249599918432
Residential,14112,3,17,21.0,Weekend,2470.59,2470.599330460468,-0.009330460467936064
Commercial,39209,67,24,21.48,Weekend,5003.05,5003.049429950077,0.0005700499232261791
Commercial,20559,21,8,26.77,Weekday,3314.12,3314.0998593575337,0.02014064246623093
Commercial,30948,96,37,20.06,Weekend,5147.11,5147.100047016927,0.009952983072253119
Residential,49646,12,12,18.68,Weekday,4298.92,4298.899998090992,0.020001909007987706
Commercial,10150,31,15,33.79,Weekday,2998.57,2998.5493666064554,0.02063339354481286
Commercial,16004,23,47,10.9,Weekend,3915.71,3915.701312352622,0.008687647377882968
Residential,49256,82,35,30.7,Weekend,5329.29,5329.298071424589,-0.008071424588706577
Industrial,21927,95,10,33.51,Weekday,4628.8,4628.799347203976,0.0006527960240418906
Commercial,27157,67,38,21.08,Weekend,4682.44,4682.449915323057,-0.009915323057612113
Commercial,17587,72,4,14.08,Weekday,3658.93,3658.9515207135455,-0.021520713545669423
Industrial,5799,37,23,34.76,Weekend,3446.15,3446.148400775918,0.0015992240819286963
Industrial,20522,88,42,31.58,Weekend,5088.21,5088.198961751137,0.0110382488628602
Commercial,31790,46,31,27.09,Weekend,4534.07,4534.048943373095,0.021056626904282894
Commercial,36721,66,46,15.58,Weekend,5338.17,5338.1505035555565,0.019496444443575456
Commercial,21439,24,42,15.79,Weekend,4073.01,4073.000561844836,0.009438155164389173
Commercial,23911,93,48,31.37,Weekday,4978.71,4978.700106290767,0.00989370923343813
Commercial,20475,79,28,13.9,Weekday,4354.25,4354.251877303164,-0.0018773031642922433
Commercial,16938,36,13,15.51,Weekday,3439.34,3439.3513804603226,-0.011380460322470753
Residential,10416,33,14,23.74,Weekend,2512.1,2512.099131649057,0.0008683509427100944
Industrial,11671,63,8,34.74,Weekend,3699.87,3699.848152363521,0.02184763647892396
Commercial,10647,46,41,13.13,Weekday,3796.71,3796.7022386245044,0.007761375495647371
Commercial,5099,39,6,16.24,Weekend,2683.73,2683.7503155222,-0.02031552219978039
Commercial,46889,54,28,17.07,Weekend,5359.1,5359.099823598037,0.0001764019634720171
Commercial,25564,87,34,15.2,Weekday,4802.21,4802.2017474699205,0.008252530079516873
Commercial,47178,27,16,24.14,Weekend,4828.19,4828.198711429152,-0.008711429152754135
Commercial,29878,16,41,31.63,Weekend,4315.75,4315.748495597756,0.0015044022438814864
Residential,29102,31,41,32.35,Weekday,3973.35,3973.3492763044837,0.0007236955161715741
Industrial,47304,98,11,12.3,Weekday,6053.68,6053.701398470088,-0.021398470087660826
Commercial,27411,41,13,13.43,Weekday,4023.41,4023.401446957753,0.008553042247058329
Industrial,36559,73,28,14.86,Weekend,5543.64,5543.650369092984,-0.010369092983637529
Residential,38067,14,23,26.61,Weekend,3870.32,3870.2983507677627,0.021649232237450633
Commercial,28029,38,15,18.72,Weekend,3987.84,3987.849729192132,-0.009729192131999298
Residential,28132,49,9,20.74,Weekday,3522.9,3522.9002354204963,-0.00023542049621028127
Industrial,28880,89,10,22.15,Weekend,4923.27,4923.249432770688,0.0205672293122916
Industrial,7319,21,37,31.57,Weekday,3708.08,3708.1000111403973,-0.020011140397400595
Residential,8745,28,30,17.72,Weekend,2728.63,2728.6500992716237,-0.020099271623621462
Industrial,23361,26,26,29.05,Weekend,4302.81,4302.79875470849,0.01124529151002207
Residential,47564,23,44,25.48,Weekend,4860.8,4860.798656991647,0.001343008353615005
Residential,42255,78,47,27.14,Weekday,5247.04,5247.049894245717,-0.009894245717077865
Industrial,18174,68,14,21.53,Weekend,4261.05,4261.0496959792745,0.0003040207257072325
Commercial,10016,85,8,24.61,Weekday,3437.74,3437.750525739282,-0.010525739282002178
Residential,36423,89,29,18.3,Weekday,4749.64,4749.650807477947,-0.010807477946400468
Residential,3842,45,12,34.26,Weekday,2260.82,2260.7991276874627,0.020872312537449034
Residential,32383,88,47,28.41,Weekday,4847.12,4847.099962403592,0.020037596407746605
Industrial,24558,80,8,24.3,Weekend,4566.41,4566.399199325452,0.01080067454768141
Industrial,41735,5,39,15.27,Weekend,5340.39,5340.400163271506,-0.010163271505916782
Industrial,45920,54,34,34.66,Weekend,5842.72,5842.697888681381,0.0221113186189541
Commercial,39504,86,46,12.07,Weekday,5744.86,5744.852035713548,0.00796428645207925
Commercial,23898,55,16,26.95,Weekend,3930.14,3930.1489087964974,-0.008908796497507865
Commercial,13499,75,41,12.97,Weekday,4230.09,4230.102301733146,-0.012301733146159677
Residential,26321,89,43,13.9,Weekend,4496.55,4496.550624606645,-0.0006246066450330545
Commercial,27702,71,14,11.3,Weekend,4318.61,4318.600705373054,0.009294626946029894
Residential,5609,81,2,33.21,Weekday,2514.4,2514.399187059201,0.0008129407992782944
Commercial,37811,25,22,19.14,Weekday,4534.85,4534.850663381949,-0.0006633819484704873
Residential,2943,13,29,17.8,Weekday,2318.15,2318.1512356866415,-0.0012356866413938405
Residential,10496,21,17,31.54,Weekend,2417.11,2417.0982163572444,0.01178364275574495
Commercial,2606,30,2,29.63,Weekday,2372.16,2372.1497961368636,0.010203863136212021
Industrial,15874,89,14,28.98,Weekend,4318.82,4318.7989315411505,0.021068458849185845
Commercial,41860,28,34,23.64,Weekend,4934.8,4934.799147249442,0.0008527505578967975
Industrial,5257,74,12,12.58,Weekend,3679.96,3679.9509813996474,0.0090186003526469
